keyboard,letters,words,time,wpm,lps,accuracy,raw_accuracy,consistency,typer,text_type
COLEMAK,273,52,21.803,143,13,100,100,85.14474768937346,10Fingers,Code
simulation1,526,47,48.475,58,11,100,100,73.20993461462564,10Fingers,Article
QWERTY,760,126,70.051,108,11,100,100,86.08137798955653,10Fingers,Book
simulation3,352,61,27.603,133,13,100,100,90.73714569068214,10Fingers,Article
QWERTY,400,56,39.334,85,10,100,100,90.90863315388985,10Fingers,Dummy
DVORAK,359,54,27.687,117,13,100,100,90.51023325262538,10Fingers,Code
COLEMAK,531,80,46.36,104,11,100,100,90.35949281382501,10Fingers,Book
simulation3,555,96,52.921,109,10,100,100,90.74442938890598,10Fingers,Code
simulation2,549,43,53.349,48,10,100,100,73.77185809757924,10Fingers,Book
simulation1,310,46,24.36,113,13,100,100,77.78949257192016,10Fingers,Dummy
QWERTY,483,78,40.047,117,12,100,100,92.37518606738716,10Fingers,Code
COLEMAK,509,70,49.829,84,10,100,100,88.10252181999316,10Fingers,Dummy
simulation3,387,63,30.473,124,13,100,100,91.11390890338859,10Fingers,Book
QWERTY,276,56,21.191,159,13,100,100,91.39300208275463,10Fingers,Book
QWERTY,542,83,46.542,107,12,100,100,94.05955303659499,10Fingers,Dummy
simulation2,506,86,45.844,113,11,100,100,91.55258288554164,10Fingers,Article
COLEMAK,867,119,72.257,99,12,100,100,94.86839331199826,10Fingers,Article
simulation3,397,71,29.825,143,13,100,100,93.45651952060312,10Fingers,Book
QWERTY,535,104,42.174,148,13,100,100,87.74547295333986,10Fingers,Article
simulation3,560,90,46.523,116,12,100,100,93.73721275717816,10Fingers,Dummy
simulation3,391,60,29.975,120,13,100,100,93.54063766948224,10Fingers,Dummy
DVORAK,737,121,63.012,115,12,100,100,91.56816229151221,10Fingers,Code
DVORAK,534,43,52.586,49,10,100,100,81.90513353163165,10Fingers,Article
COLEMAK,576,95,45.046,127,13,100,100,94.53056824877152,10Fingers,Book
COLEMAK,389,59,36.753,96,11,100,100,93.0095859644801,10Fingers,Code
simulation1,500,62,47.585,78,11,100,100,83.00621758540873,10Fingers,Book
DVORAK,294,45,29.516,91,10,100,100,90.77440237346994,10Fingers,Dummy
simulation1,734,122,60.737,121,12,100,100,90.99347058376941,10Fingers,Code
simulation3,305,7,11.169,38,27,100,100,56.421149526925376,10Fingers,Code
simulation1,301,37,25.481,87,12,100,100,66.24868964634766,10Fingers,Book
COLEMAK,265,47,20.778,136,13,100,100,90.14353317445038,10Fingers,Article
simulation1,396,62,31.265,119,13,100,100,90.06272178719753,10Fingers,Book
COLEMAK,519,91,42.098,130,12,100,100,94.26607744690695,10Fingers,Code
COLEMAK,505,58,51.662,67,10,100,100,80.67998952454407,10Fingers,Dummy
simulation2,675,112,65.26,103,10,100,100,90.25700722728392,10Fingers,Dummy
DVORAK,741,117,62.852,112,12,100,100,90.94913425388381,10Fingers,Article
simulation3,466,66,36.979,107,13,100,100,88.78530811741972,10Fingers,Book
simulation3,545,102,46.957,130,12,100,100,91.64133541694241,10Fingers,Book
simulation1,558,99,42.302,140,13,100,100,94.67886258888892,10Fingers,Dummy
QWERTY,419,73,34.002,129,12,100,100,91.52185556352529,10Fingers,Dummy
simulation1,698,119,58.575,122,12,100,100,92.4406496714871,10Fingers,Code
simulation3,527,88,49.17,107,11,100,100,79.76528055008436,10Fingers,Dummy
simulation3,422,66,33.299,119,13,100,100,88.46984544443208,10Fingers,Book
simulation1,527,100,42.686,141,12,100,100,92.14967829961503,10Fingers,Dummy
QWERTY,407,67,32.922,122,12,100,100,91.67368747055386,10Fingers,Article
QWERTY,683,104,58.703,106,12,100,100,88.47985079276074,10Fingers,Article
COLEMAK,546,106,43.192,147,13,100,100,90.0512844916501,10Fingers,Dummy
QWERTY,888,149,83.477,107,11,100,100,91.65469539385906,10Fingers,Book
simulation2,354,67,30.151,133,12,100,100,91.47201065571544,10Fingers,Book
simulation1,355,62,28.19,132,13,100,100,89.19512389280878,10Fingers,Book
simulation3,275,51,19.752,155,14,100,100,90.06751811987995,10Fingers,Dummy
simulation2,273,47,24.18,117,11,100,100,90.73137357523979,10Fingers,Article
simulation3,510,67,48.698,83,10,100,100,90.07765991149901,10Fingers,Code
QWERTY,556,69,54.71,76,10,100,100,83.34337769034852,10Fingers,Dummy
COLEMAK,788,140,67.133,125,12,100,100,95.20310635495699,10Fingers,Code
simulation3,378,29,34.876,50,11,100,100,84.27133392627802,10Fingers,Dummy
QWERTY,519,73,43.615,100,12,100,100,90.77132068960519,10Fingers,Code
COLEMAK,375,32,35.709,54,11,100,100,86.13150298475864,10Fingers,Code
DVORAK,539,75,55.606,81,10,100,100,71.20980571582817,10Fingers,Article
